ISIN,RANK,POWERRATING
INF174KA1OO4,,ON_TRACK
INF200K01453,2,IN_FORM
INF200KB1563,6,IN_FORM
INF247L01908,1,IN_FORM
INF194K01W05,2,IN_FORM
INF251K01AA9,18,ON_TRACK
INF174KA1OR7,,ON_TRACK
INF959L01CK0,24,OUT_OF_FORM
INF754K01012,6,IN_FORM
INF754K01053,6,IN_FORM
INF754K01QN1,1,IN_FORM
INF767K01EL3,34,OUT_OF_FORM
INF03VN01795,8,IN_FORM
INF192K01JU4,18,ON_TRACK
INF397L01JK8,29,OUT_OF_FORM
INF204KC1FB1,18,IN_FORM
INF200K01UF3,29,OFF_TRACK
INF767K01EO7,17,OFF_TRACK
INF1J2R01080,33,ON_TRACK
INF903JA1LW4,,ON_TRACK
INF204K01GB3,6,IN_FORM
INF277K01PW6,20,OFF_TRACK
INF194K01X46,15,OFF_TRACK
INF740KA1DJ2,16,ON_TRACK
INF223J01FF8,20,OUT_OF_FORM
INF209KA1TP9,14,OFF_TRACK
INF277KA1CE6,2,IN_FORM
INF903JA1LY0,,ON_TRACK
INF03VN01761,8,ON_TRACK
INF090I01296,7,ON_TRACK
INF251K01OT0,11,IN_FORM
INF760K01JC6,14,OFF_TRACK
INF663L01W48,19,OFF_TRACK
INF789F01737,14,OFF_TRACK
INF174K012K1,1,IN_FORM
INF192K01650,23,ON_TRACK
INF251K01HF3,18,ON_TRACK
INF769K01GT7,6,IN_FORM
INF204K01I68,6,IN_FORM
INF917K01LD6,16,OFF_TRACK
INF194KB1HF1,6,ON_TRACK
INF174K01DT7,8,IN_FORM
INF179KC1BN6,3,IN_FORM
INF846K011C8,4,IN_FORM
INF846K018H2,,ON_TRACK
INF769K01ES4,27,OUT_OF_FORM
INF090I01973,5,IN_FORM
INF090I01FO5,20,OFF_TRACK
INF767K01FJ4,32,ON_TRACK
INF205K014T1,2,IN_FORM
INF740K01PN2,9,ON_TRACK
INF174K013K9,1,IN_FORM
INF205K01MR4,22,OUT_OF_FORM
INF277K01DJ9,19,OFF_TRACK
INF966L01CQ2,7,OUT_OF_FORM
INF174KA1UU8,,ON_TRACK
INF966L01AP8,14,ON_TRACK
